date_key,full_date,day,month,month_name,quarter,year,week_of_year,day_of_week,is_weekend
96,2021-04-06,6,4,April,2,2021,14,Tuesday,False
97,2021-04-07,7,4,April,2,2021,14,Wednesday,False
98,2021-04-08,8,4,April,2,2021,14,Thursday,False
99,2021-04-09,9,4,April,2,2021,14,Friday,False
100,2021-04-10,10,4,April,2,2021,14,Saturday,True
101,2021-04-11,11,4,April,2,2021,14,Sunday,True
102,2021-04-12,12,4,April,2,2021,15,Monday,False
103,2021-04-13,13,4,April,2,2021,15,Tuesday,False
104,2021-04-14,14,4,April,2,2021,15,Wednesday,False
105,2021-04-15,15,4,April,2,2021,15,Thursday,False
106,2021-04-16,16,4,April,2,2021,15,Friday,False
107,2021-04-17,17,4,April,2,2021,15,Saturday,True
108,2021-04-18,18,4,April,2,2021,15,Sunday,True
109,2021-04-19,19,4,April,2,2021,16,Monday,False
110,2021-04-20,20,4,April,2,2021,16,Tuesday,False
111,2021-04-21,21,4,April,2,2021,16,Wednesday,False
112,2021-04-22,22,4,April,2,2021,16,Thursday,False
113,2021-04-23,23,4,April,2,2021,16,Friday,False
114,2021-04-24,24,4,April,2,2021,16,Saturday,True
115,2021-04-25,25,4,April,2,2021,16,Sunday,True
116,2021-04-26,26,4,April,2,2021,17,Monday,False
117,2021-04-27,27,4,April,2,2021,17,Tuesday,False
118,2021-04-28,28,4,April,2,2021,17,Wednesday,False
119,2021-04-29,29,4,April,2,2021,17,Thursday,False
120,2021-04-30,30,4,April,2,2021,17,Friday,False
121,2021-05-01,1,5,May,2,2021,17,Saturday,True
122,2021-05-02,2,5,May,2,2021,17,Sunday,True
123,2021-05-03,3,5,May,2,2021,18,Monday,False
124,2021-05-04,4,5,May,2,2021,18,Tuesday,False
125,2021-05-05,5,5,May,2,2021,18,Wednesday,False
126,2021-05-06,6,5,May,2,2021,18,Thursday,False
127,2021-05-07,7,5,May,2,2021,18,Friday,False
128,2021-05-08,8,5,May,2,2021,18,Saturday,True
129,2021-05-09,9,5,May,2,2021,18,Sunday,True
130,2021-05-10,10,5,May,2,2021,19,Monday,False
131,2021-05-11,11,5,May,2,2021,19,Tuesday,False
132,2021-05-12,12,5,May,2,2021,19,Wednesday,False
133,2021-05-13,13,5,May,2,2021,19,Thursday,False
134,2021-05-14,14,5,May,2,2021,19,Friday,False
135,2021-05-15,15,5,May,2,2021,19,Saturday,True
136,2021-05-16,16,5,May,2,2021,19,Sunday,True
137,2021-05-17,17,5,May,2,2021,20,Monday,False
138,2021-05-18,18,5,May,2,2021,20,Tuesday,False
139,2021-05-19,19,5,May,2,2021,20,Wednesday,False
140,2021-05-20,20,5,May,2,2021,20,Thursday,False
141,2021-05-21,21,5,May,2,2021,20,Friday,False
142,2021-05-22,22,5,May,2,2021,20,Saturday,True
143,2021-05-23,23,5,May,2,2021,20,Sunday,True
144,2021-05-24,24,5,May,2,2021,21,Monday,False
145,2021-05-25,25,5,May,2,2021,21,Tuesday,False
146,2021-05-26,26,5,May,2,2021,21,Wednesday,False
147,2021-05-27,27,5,May,2,2021,21,Thursday,False
148,2021-05-28,28,5,May,2,2021,21,Friday,False
149,2021-05-29,29,5,May,2,2021,21,Saturday,True
150,2021-05-30,30,5,May,2,2021,21,Sunday,True
151,2021-05-31,31,5,May,2,2021,22,Monday,False
152,2021-06-01,1,6,June,2,2021,22,Tuesday,False
153,2021-06-02,2,6,June,2,2021,22,Wednesday,False
154,2021-06-03,3,6,June,2,2021,22,Thursday,False
155,2021-06-04,4,6,June,2,2021,22,Friday,False
156,2021-06-05,5,6,June,2,2021,22,Saturday,True
157,2021-06-06,6,6,June,2,2021,22,Sunday,True
158,2021-06-07,7,6,June,2,2021,23,Monday,False
159,2021-06-08,8,6,June,2,2021,23,Tuesday,False
160,2021-06-09,9,6,June,2,2021,23,Wednesday,False
161,2021-06-10,10,6,June,2,2021,23,Thursday,False
162,2021-06-11,11,6,June,2,2021,23,Friday,False
163,2021-06-12,12,6,June,2,2021,23,Saturday,True
164,2021-06-13,13,6,June,2,2021,23,Sunday,True
165,2021-06-14,14,6,June,2,2021,24,Monday,False
166,2021-06-15,15,6,June,2,2021,24,Tuesday,False
167,2021-06-16,16,6,June,2,2021,24,Wednesday,False
168,2021-06-17,17,6,June,2,2021,24,Thursday,False
169,2021-06-18,18,6,June,2,2021,24,Friday,False
170,2021-06-19,19,6,June,2,2021,24,Saturday,True
171,2021-06-20,20,6,June,2,2021,24,Sunday,True
172,2021-06-21,21,6,June,2,2021,25,Monday,False
173,2021-06-22,22,6,June,2,2021,25,Tuesday,False
174,2021-06-23,23,6,June,2,2021,25,Wednesday,False
175,2021-06-24,24,6,June,2,2021,25,Thursday,False
176,2021-06-25,25,6,June,2,2021,25,Friday,False
177,2021-06-26,26,6,June,2,2021,25,Saturday,True
178,2021-06-27,27,6,June,2,2021,25,Sunday,True
179,2021-06-28,28,6,June,2,2021,26,Monday,False
180,2021-06-29,29,6,June,2,2021,26,Tuesday,False
181,2021-06-30,30,6,June,2,2021,26,Wednesday,False
182,2021-07-01,1,7,July,3,2021,26,Thursday,False
183,2021-07-02,2,7,July,3,2021,26,Friday,False
184,2021-07-03,3,7,July,3,2021,26,Saturday,True
185,2021-07-04,4,7,July,3,2021,26,Sunday,True
186,2021-07-05,5,7,July,3,2021,27,Monday,False
187,2021-07-06,6,7,July,3,2021,27,Tuesday,False
188,2021-07-07,7,7,July,3,2021,27,Wednesday,False
189,2021-07-08,8,7,July,3,2021,27,Thursday,False
190,2021-07-09,9,7,July,3,2021,27,Friday,False
191,2021-07-10,10,7,July,3,2021,27,Saturday,True
192,2021-07-11,11,7,July,3,2021,27,Sunday,True
193,2021-07-12,12,7,July,3,2021,28,Monday,False
194,2021-07-13,13,7,July,3,2021,28,Tuesday,False
195,2021-07-14,14,7,July,3,2021,28,Wednesday,False
196,2021-07-15,15,7,July,3,2021,28,Thursday,False
197,2021-07-16,16,7,July,3,2021,28,Friday,False
198,2021-07-17,17,7,July,3,2021,28,Saturday,True
199,2021-07-18,18,7,July,3,2021,28,Sunday,True
200,2021-07-19,19,7,July,3,2021,29,Monday,False
201,2021-07-20,20,7,July,3,2021,29,Tuesday,False
202,2021-07-21,21,7,July,3,2021,29,Wednesday,False
203,2021-07-22,22,7,July,3,2021,29,Thursday,False
204,2021-07-23,23,7,July,3,2021,29,Friday,False
205,2021-07-24,24,7,July,3,2021,29,Saturday,True
206,2021-07-25,25,7,July,3,2021,29,Sunday,True
207,2021-07-26,26,7,July,3,2021,30,Monday,False
208,2021-07-27,27,7,July,3,2021,30,Tuesday,False
209,2021-07-28,28,7,July,3,2021,30,Wednesday,False
210,2021-07-29,29,7,July,3,2021,30,Thursday,False
211,2021-07-30,30,7,July,3,2021,30,Friday,False
212,2021-07-31,31,7,July,3,2021,30,Saturday,True
213,2021-08-01,1,8,August,3,2021,30,Sunday,True
214,2021-08-02,2,8,August,3,2021,31,Monday,False
215,2021-08-03,3,8,August,3,2021,31,Tuesday,False
216,2021-08-04,4,8,August,3,2021,31,Wednesday,False
217,2021-08-05,5,8,August,3,2021,31,Thursday,False
218,2021-08-06,6,8,August,3,2021,31,Friday,False
219,2021-08-07,7,8,August,3,2021,31,Saturday,True
220,2021-08-08,8,8,August,3,2021,31,Sunday,True
221,2021-08-09,9,8,August,3,2021,32,Monday,False
222,2021-08-10,10,8,August,3,2021,32,Tuesday,False
223,2021-08-11,11,8,August,3,2021,32,Wednesday,False
224,2021-08-12,12,8,August,3,2021,32,Thursday,False
225,2021-08-13,13,8,August,3,2021,32,Friday,False
226,2021-08-14,14,8,August,3,2021,32,Saturday,True
227,2021-08-15,15,8,August,3,2021,32,Sunday,True
228,2021-08-16,16,8,August,3,2021,33,Monday,False
229,2021-08-17,17,8,August,3,2021,33,Tuesday,False
230,2021-08-18,18,8,August,3,2021,33,Wednesday,False
231,2021-08-19,19,8,August,3,2021,33,Thursday,False
232,2021-08-20,20,8,August,3,2021,33,Friday,False
233,2021-08-21,21,8,August,3,2021,33,Saturday,True
234,2021-08-22,22,8,August,3,2021,33,Sunday,True
235,2021-08-23,23,8,August,3,2021,34,Monday,False
236,2021-08-24,24,8,August,3,2021,34,Tuesday,False
237,2021-08-25,25,8,August,3,2021,34,Wednesday,False
238,2021-08-26,26,8,August,3,2021,34,Thursday,False
239,2021-08-27,27,8,August,3,2021,34,Friday,False
240,2021-08-28,28,8,August,3,2021,34,Saturday,True
241,2021-08-29,29,8,August,3,2021,34,Sunday,True
242,2021-08-30,30,8,August,3,2021,35,Monday,False
243,2021-08-31,31,8,August,3,2021,35,Tuesday,False
244,2021-09-01,1,9,September,3,2021,35,Wednesday,False
245,2021-09-02,2,9,September,3,2021,35,Thursday,False
246,2021-09-03,3,9,September,3,2021,35,Friday,False
247,2021-09-04,4,9,September,3,2021,35,Saturday,True
248,2021-09-05,5,9,September,3,2021,35,Sunday,True
249,2021-09-06,6,9,September,3,2021,36,Monday,False
250,2021-09-07,7,9,September,3,2021,36,Tuesday,False
251,2021-09-08,8,9,September,3,2021,36,Wednesday,False
